# ID	TEXT	MARKER	TARGET	RELATION
1	Heftige Regenfälle , Überschwemmung gibt Anlass zu Rettungen in Louisiana , Mississippi	(kurz gesagt)	2	broad
14	Der Fluss Tickfaw , südlich der Mississippi Staatsgrenze in Liverpool , Louisiana , erreichte am an dem Freitag bereits um 09.00 den höchsten Stand , der jemals aufgezeichnet wurde .	am Freitag (zuvor)	13	before
15	Rettungsteams zupften noch immer Leute aus dem Flutwasser in den Bezirken Amite und Wilkinson im in dem Südwesten von Mississippi .	(als Folge)	14	result
16	Leroy Hansford , seine Frau und sein Stiefsohn befanden sich unter denjenigen , die am an dem Freitag in der Nähe von Gloster gerettet wurden .	(unter anderem)	15	instance
17	Hansford , 62 , sagt , dass Wasser von Beaver Creek , das normalerweise mehr als 400 Fuß von seinem Haus entfernt liegt , über Nacht stark anstieg .	über Nacht (zuvor)	16	before
18	Er sagte , dass ihn ein weiterer Stiefsohn , der in der Nähe wohnt , gewarnt hätte .	(gleichzeitig)	17	synchrony
19	&quot; Wir sind aufgewacht und das Wasser strömte und strömte herein , &quot; sagte Hansford .	(daher)	18	result
20	Es erreichte meine Taille .	(konkret)	19	specific
21	Seine Frau sagte Hansford , dass sie in den 48 Jahren , in denen sie dort lebte , noch nie einen solchen Hochstand des Flusses gesehen hätte .	(konkret)	20	specific
22	Hansford sagte , dass er und seine Familienmitglieder alle Behinderungen hätten und er der Einzige wäre , der schwimmen kann .	(außerdem)	19	conjunction
23	Hansford sagte , dass Nothelfer alle drei in einem großen Militär-LKW gerettet hätten und sie zu der nächsten Feuerwache in Gloster gebracht hätten , wo sie bis zum zu dem Freitag untergebracht waren .	(später)	20	after
24	Krautmann sagte , dass die Überschwemmung &quot; sich schnell ausgebreitet &quot; hatte , da es weiterhin schwere Regenfälle gab und , dass die Behörden Evakuierungsanweisungen in Betracht zögen .	(außerdem)	13	conjunction
25	Laut Krautmann meldete ein Beobachter in der Nähe von Livingstone von Mitternacht bis Freitag morgen von 13,75 Zoll Regen .	(konkret)	24	specific
26	Krautmann sagte , dass der Boden durch die Regenfälle seit Mittwoch erheblich vollgesogen sei .	durch die Regenfälle (dadurch)	25	result
27	Die Behörden gaben an , dass schwere Regenfälle und Straßenüberschwemmungen die Rettung von Einwohnern aus ihren Häusern in Tangipahoa Parish und Unterrichtsausfall in fünf Schulbezirken verursachten .	(und)	26	conjunction
28	Der CBS Tochtersender WWL berichtete , dass eine Beigeordnete in Tangipahoa 200 überschwemmte Häuser angab .	(konkret)	27	specific
29	Die Einwohner wurden in zwei Kirchen evakuiert , die jetzt beide überschwemmt wurden .	(indem)	27	means
30	Der Vorsteher der Gemeinde Robby Miller sagte , dass die Behörden 72 Leute und sieben Haustiere gerettet hätten , die vom von dem Hochwasser angespült wurden .	(dadurch)	27	achievement
31	In den Städten Amite und Hammond wurden Notunterkünfte eingerichtet , um die Evakuierten zu beherbergen .	(später)	30	after
32	&quot; Sobald das Wasser anfängt zurückzugehen , werden sie wieder in ihre Häuser zurückgehen können , &quot; sagte er .	sobald (später)	31	after
33	In der Stadt Hammond der Gemeinde Tangipahoa wurden fast zwei dutzend Straßen aufgrund des Hochwassers geschlossen und Sandsäcke für die Bewohner zur zu der Mitnahme bereitgestellt , die hoffen , das Wasser aus ihren Häusern und Geschäften halten zu können .	(außerdem)	31	conjunction
34	&quot; Die letzte große Überschwemmung , die wir hatten , war im in dem März , &quot; sagte Lacy Landrum von der Stadtverwaltung .	im März (zuvor)	27	before
35	Dies scheint ein ähnlicher Vorfall zu werden .	ein ähnlicher Vorfall	34	similarity
36	In Mississipp sagte der Notfallmanager Rupert Lacy des Harrison Countys , dass es an der Golfküste weiterhin regnete .	(gleichzeitig)	15	synchrony
37	Laut seinen Angaben sollen eine Handvoll Häuser am an dem Donnerstag als überschwemmt gemeldet worden sein , aber am an dem Freitag wurden bis jetzt keine gemeldet .	am Donnerstag (zuvor)	36	before
38	Keith Townson , Manager bei Shopper Value Foods in Amite , lebt bereits seit 40 Jahren in der Gegend .	(als Beispiel)	36	instance
39	&quot; Ich habe Wasser an Orten gesehen , an denen ich es nie zuvor gesehen habe , &quot; sagte Townson , &quot; und es kommt noch immer . &quot;	(und)	38	conjunction
