# ID	TEXT	MARKER	TARGET	RELATION
1	Die Welt ist im Wandel .	(aktuell)	2	synchrony
32	Ungefähr 80 % der CEOs weltweit sehen in Nachhaltigkeit die Wurzel für Innovations-Wachstum , was zu einem Wettbewerbsvorteil in ihren Branchen führt .	(konkret)	30	specific
33	Aber 93 % sehen ESG als die Zukunft oder als wichtig für die Zukunft ihres Unternehmens .	(konkret)	30	specific
34	Also die CEOs sehen das ganz klar .	also (zusammengefasst)	33	broad
35	Nachhaltigkeit bietet enorme Möglichkeiten .	(weil)	32	reason
36	Wie nutzen Unternehmen ESG , um harte Geschäftsergebnisse zu erzielen ?	Wie	33	hypophora
37	Ein Beispiel geht uns besonders zu Herzen .	ein beispiel	36	instance
38	Im Jahr 2012 hat State Street 54 Anwendungsprogramme in die Cloud-Umgebung migriert und weitere 85 Programme eingestellt .	(ein beispiel)	36	instance
39	Wir virtualisierten die Arbeitsumgebungen und stellten zahlreiche Automatisierungsprojekte fertig .	(konkret)	38	specific
40	Diese Initiativen schaffen einen mobileren Arbeitsplatz und reduzieren unseren Immobilien-Bedarf .	(dadurch)	39	result
41	Dadurch werden jährlich 23 Mio.	_	42	fragment
42	Dollar an Betriebskosten gespart und die Emission von 100 000 Tonnen Kohlenstoff vermieden .	dadurch	40	result
43	Das sind 21 000 Autos weniger auf den Straßen .	(anders gesagt)	42	Restatement
44	Genial , oder ?	Genial, oder?	43	hypophora
45	Ein weiteres Beispiel ist Pentair .	ein weiteres Beispiel	36	instance
46	Pentair ist ein US-Mischkonzern .	(konkret)	45	specific
47	Vor etwa einem Jahrzehnt verkauften sie ihr Kerngeschäft , Heimwerker-Geräte , und investierten die Einnahmen ins Wassergeschäft .	(weil)	45	reason
48	Das ist ein wirklich großer Einsatz .	(insgesamt)	47	broad
49	Warum haben sie das getan ?	Warum	47	hypophora
50	Die Heimwerker-Fans mögen entschuldigen , aber es gibt mehr Wachstum bei Wasser als bei Elektrowerkzeugen , und dieses Unternehmen hat die , wie sie es nennen , " neue Neue Welt " im Visier : Vier Milliarden Menschen aus der Mittelschicht , die Nahrung , Strom und Wasser brauchen .	(weil)	49	reason
51	Jetzt fragen Sie sich vielleicht , sind das denn nicht nur Einzelfälle ?	jetzt fragen Sie sich vielleicht	45	hypophora
52	Ich meine , mal ehrlich , stehen Unternehmen , die Nachhaltigkeit berücksichtigen , finanziell tatsächlich gut da ?	mal ehrlich	51	Hypophora
53	Die überraschende Antwort ist ja .	ja	52	answer
54	Die Daten zeigen , dass Aktien mit besserer ESG-Leistung genauso gut abschneiden wie andere .	(weil)	53	reason
55	In Blau sehen wir den MSCI World Index , ein Index für Großunternehmen aus entwickelten Märkten auf der ganzen Welt .	(konkret)	54	specific
56	Und in Gold sehen wir die Teilmenge von Unternehmen mit der besten ESG-Leistung .	und	55	Conjunction
57	Seit über drei Jahren kein Leistungskompromiss .	(kurz gesagt)	56	broad
58	Das ist doch okay , oder ?	Das ist doch okay, oder?	57	hypophora
59	Aber wir wollen mehr .	aber	58	Contrast
60	Ich will mehr .	(genauer gesagt)	59	specific
61	In einigen Fällen ist ESG ein Indikator für überdurchschnittliche Wertentwicklung .	in einigen Fällen	54	instance
62	In Blau sehen wir die Leistung der 500 größten globalen Unternehmen und in Gold sehen wir eine Teilmenge von Unternehmen mit guter Klimaschutzstrategie und Risikomanagement .	(konkret)	61	specific
63	Seit fast acht Jahren übertreffen sie die Wertentwicklung um rund zwei Drittel .	(anders gesagt)	62	restatement
64	Zugegeben , das ist eine Korrelation , kein Kausalzusammenhang .	zugegeben (auch wenn)	63	concession
65	Aber es macht deutlich , dass umweltorientierte Führung mit guten Renditen kompatibel ist .	aber	64	Contrast
66	Wenn die Erträge gleich oder besser sind , und es gut für den Planeten ist , sollte es nicht Standard sein ?	wenn … sollte	65	hypophora
67	Engagieren sich Investoren , insbesondere institutionelle Investoren ?	_	66	hypophora
68	Nun , einige tun es , und ein paar sind wirkliche Vorreiter .	(ja)	67	answer
69	Hesta .	(zum Beispiel)	68	instance
70	Hesta ist ein Pensionsfonds für Mitarbeiter im Gesundheitswesen und im öffentlichen Dienst in Australien , mit einem Vermögen von 22 Mrd.	(konkret)	69	specific
71	[ Dollar ] .	_	70	fragment
72	Sie glauben , dass ESG das Potenzial hat , Risiken und Erträge zu beeinflussen .	(und)	70	Conjunction
73	Deshalb sehen sie es als ihre Pflicht an , das beim Investment mit einzubeziehen .	deshalb	72	result
74	Im besten Interesse der Fondsmitglieder handeln , das ist ihre Kernaufgabe .	(um)	73	goal
75	Man muss sie einfach lieben , die Australier , oder ?	oder?	74	hypophora
76	CalPERS ist ein weiteres Beispiel .	ein weiteres Beispiel	68	instance
77	CalPERS ist der Pensionsfonds für Angestellte im öffentlichen Dienst in Kalifornien .	(konkret)	76	specific
78	Mit einem Vermögen von 244 Mrd.	_	79	fragment
79	[ Dollar ] ist er der zweitgrößte in den USA und der sechstgrößte in der Welt .	(und)	77	Conjunction
80	Ihre Investitionen in Nachhaltigkeit liegen bei fast 100 % .	(weil)	76	reason
81	Sie integrieren die ESG systematisch in den gesamten Fonds .	(indem)	80	means
82	Warum ?	warum	83	hypophora
83	Sie glauben , es ist wichtig für größere langfristige Renditen , Punkt .	(weil)	81	reason
84	Sie sagen : " Langfristige Wertschöpfung erfordert die effiziente Verwaltung dreier Formen des Kapitals : Finanzielles , personelles und physisches Kapital .	(konkret)	83	specific
85	Deshalb ist uns ESG wichtig . "	deshalb	84	result
86	Bestandteil meiner Arbeit ist , mit vielen Investoren zu sprechen .	_	_	NoRel
87	Nicht alle sehen das genauso .	(allerdings)	86	contra-expectation
88	Oft höre ich : " Wir sind verpflichtet , Gewinne zu maximieren , deshalb machen wir das hier nicht . "	(beispielsweise)	87	instance
89	Oder : " Wir wollen mit dem Portfolio keine Grundsatzerklärungen abgeben . "	oder (beispielsweise)	87	instance
90	Die folgende Aussage geht mir wirklich unter die Haut : " Wenn	_	91	fragment
91	Sie das verändern wollen , verdienen Sie Geld und spenden Sie die Gewinne an Wohltätigkeitsorganisationen . "	(beispielsweise)	87	instance
92	Da verdrehe ich die Augen .	da (in dem Fall)	91	consequence
93	Lassen Sie mich eins ein für alle Mal klarstellen : Unternehmen und Investoren sind nicht alleine für das Schicksal des Planeten verantwortlich .	(auch wenn)	95	concession
94	Sie haben nicht unbegrenzte soziale Verpflichtungen , und umsichtige Investitions- und Finanzierungstheorien sind nicht der Nachhaltigkeit untergeordnet .	(weil)	93	reason
95	Aber sie sind kompatibel .	aber	94	Contrast
96	Ich spreche hier also nicht über Kompromisse .	also	95	result
97	Aber institutionelle Investoren sind der Schlüsselfaktor für Nachhaltigkeit .	aber	93	contra-expectation
98	Warum sind sie der Schlüssel ?	warum	98	hypohora
99	Die Antwort ist ganz einfach : Sie haben das Geld .	(weil)	97	reason
100	( Gelächter ) Eine ganze Menge Geld .	(genauer gesagt)	98	specific
101	Ich meine , wirklich viel Geld .	(nämlich)	99	restatement
102	Der globale Aktienmarkt umfasst 55 Billionen Dollar .	(for instance)	101	instance
103	Der globale Rentenmarkt 78 Billionen Dollar .	(und)	102	Conjunction
104	Das sind zusammen 133 Billionen .	zusammen	103	broad
105	Das ist achteinhalb Mal das BIP der USA .	das ist	104	Similarity
106	Das ist die größte Volkswirtschaft der Welt .	(mit anderen Worten)	105	Restatement
107	Das ist schon gigantisch viel Feuerkraft .	(mit anderen Worten)	106	restatement
108	Damit können wir ganz anders an einige dringende Herausforderungen herangehen , wie frisches Wasser , saubere Luft , Nahrung für 10 Milliarden Münder .	damit	104	goal
109	Wenn nur institutionelle Anleger die ESG in ihre Investitionen integrieren .	wenn	108	condition
110	Was wäre , wenn sie diese Feuerkraft nutzten und mehr von ihrem Kapital in Unternehmen investierten , die am härtesten an der Lösung dieser Probleme arbeiten , oder sie zumindest nicht verschärfen ?	was wäre, wenn	109	hypophora
111	Was haben wir davon , wenn wir arbeiten , sparen und investieren , nur um im Ruhestand eine Welt vorzufinden , die angespannter und unsicherer ist als jetzt ?	(und)	110	Conjunction
112	Wenn saubere Luft und frisches Wasser fehlen ?	(und)	111	Conjunction
113	Eine berechtigte Frage könnte sein : Und wenn das ganze Nachhaltigkeits-Risiko-Gerede übertrieben und nicht dringlich ist ?	und wenn	110	Contrast
114	Wenn es nur etwas für tugendhafte Verbraucher oder eine reine Frage des Lebensstils ist ?	(und)	113	Conjunction
115	Präsident John F. Kennedy sagte dazu das einzig Richtige : " Aktionsprogramme bergen Risiken und Kosten , aber sie sind weit geringer als die langfristigen Risiken und Kosten der bequemen Untätigkeit . "	dazu	113	disagreement
116	Sicher gibt es ein Schätzrisiko , aber da dies alles auf breitem wissenschaftlichen Konsens beruht , ist die Chance , dass es nicht völlig falsch ist , höher als die Wahrscheinlichkeit , dass unser Haus abbrennt oder wir einem Autounfall haben .	(weil)	115	reason
117	Nun , vielleicht nicht , wenn Sie in Boston leben .	nicht, wenn	116	neg_condition
118	( Gelächter ) Es ist doch so : Wir schließen Versicherungen ab , um für diese Fälle finanziell gerüstet zu sein , oder ?	oder?	116	hypophora
119	Durch nachhaltiges Investieren tun wir zwei Dinge .	durch	120	means
120	Wir schaffen eine Versicherung , verringern die Gefahr für unseren Planeten und für unsere Wirtschaft , und gleichzeitig müssen wir kurzfristig nicht auf Leistung verzichten .	(nämlich)	119	specific
121	[ Comic : " Was , wenn das alles bloß Schwindel ist und wir schaffen ohne Grund eine bessere Welt ? " ]	was, wenn	120	hypophora
122	Gut , er gefällt Ihnen .	gut	121	feedback
123	Ich mag ihn auch .	auch	122	agreement
124	( Gelächter ) Ich mag ihn , weil er sich über beide Lager des Klimawandels lustig macht .	(genauer gesagt)	123	specific
125	Ich wette , Sie erraten nicht , auf welcher Seite ich stehe .	ich wette	124	hypophora
126	Ich mag es besonders , weil er mich an Mark Twain erinnert , der sagte : " Plane für die Zukunft , denn dort wirst du den Rest deines Lebens verbringen . "	besonders (konkret)	124	specific
127	Vielen Dank .	_	_	NoRel
