# ID	TEXT	MARKER	TARGET	RELATION
16	Schauen wir uns San Francisco an .	(außerdem)	15	Conjunction
17	Sie sehen , dass dort etwas anderes passiert .	(und)	16	Conjunction
18	Auf der einen Seite gibt es den Medien- , Politik- und Nachrichtenflügel , den es in Baltimore und anderen Städten meist gibt , es gibt aber auch diese tonangebende Gruppe der Geeks und Technikbegeisterten , die die obere Hälfte der Karte dominieren , sowie eine Gruppe , die so klar und ausgeprägt ist , dass wir sie als Twitter-Mitarbeiter bezeichnen , nahe bei den Geeks , zwischen Gamern und Geeks , am entgegengesetzten Ende des Hip-Hop-Spektrums .	(konkret)	17	specific
19	Sie sehen also , dass die Spannungen , die wir aus San Francisco vernehmen , dass sich die Leute um Gentrifizierung sorgen , wegen diesen neuen Tech-Firmen , die neuen Wohlstand bringen und sich in der Stadt ansiedeln , real sind .	also	18	result
20	Sie sehen das hier dokumentiert .	(konkret)	19	specific
21	Sie sehen die LGBT-Community , die nicht zu den Geeks passt , die Künstler , die Musiker .	(zum Beispiel)	18	instance
22	Und dies führt zu Dingen wie diesen : [ " Twitter raus " ] Das Bild bekam ich vor einigen Wochen .	und dies führt zu	19	result
23	Es zeigt auf , was auf dem Boden von San Francisco passiert .	(tatsächlich)	22	specific
24	Ich glaube , sie können versuchen , das verstehen , indem sie solche Karten anschauen .	indem	23	means
25	Betrachten wir Rio de Janeiro .	(außerdem)	24	Conjunction
26	Ich sammelte die letzten Wochen Daten in Rio .	(dafür)	25	specific
27	Eine Sache viel mir in dieser Stadt auf : Alles ist wirklich sehr gemischt .	(dabei)	26	synchrony
28	Es ist eine sehr heterogene Stadt , nicht wie Baltimore oder San Francisco .	(nämlich)	27	restatement
29	Es gibt immer noch die Gruppen an Menschen aus Verwaltung , Zeitungen , Politk und Kolummnisten .	(zum Beispiel)	27	instance
30	TEDxRio is unten rechts , rechts neben Bloggern und Autoren .	(im Spezifischen)	29	specific
31	Es gibt aber auch diese enorme Vielfalt an Menschen , interessiert an verschiedenen Musikarten .	es gibt aber auch	29	Conjunction
32	Sogar Justin Bieber-Fans sind vertreten .	sogar	31	instance
33	Andere Boy-Groups , Countrysänger , Gospelmusiker , Funk , Rap und Stand-Up-Komödianten .	(und)	32	Conjunction
34	Und sogar eine ganze Gruppe rund um Drogen und Witze .	und sogar	33	instance
35	Wie cool ist das denn ?	wie cool	34	hypophora
36	Auch die Fußballmannschaft " Flamengo " ist vertreten .	auch 	34	Conjunction
37	Sie haben diese Bandbreite von Sport , Verwaltung , Kunst und Musik , aber in einer ganz anderen Art dargestellt .	(insgesamt)	28	broad
38	Ich denke , dass könnte zu der Art , wie wir Rio verstehen , passen , als eine sehr multikulturelle , musikalisch vielfältige Stadt .	(and)	37	Conjunction
39	Wir haben all diese Daten , ein unglaublich reichhaltiger Bestand an Daten über Städte .	(schließlich)	26	broad
40	Vielleicht reichhaltiger als alles , was wir je zuvor hatten .	vielleicht (sogar)	39	specific
41	Was können wir damit anfangen ?	was	39	hypophora
42	Ich denke , als Erstes sollten wir versuchen zu verstehen : Ist diese Trennung ein soziales Konzept ?	als erstes	41	goal
43	Ist es etwas , dass wir wählen , obwohl wir es auch nicht tun könnten ?	obwohl	42	concession
44	Wenn Sie darüber nachdenken , mit diesem Daten haben wir einen Blick darauf und betrachten die Stadt wie einen riesigen Schulspeiseraum , beobachten , wie sich jeder in dieser Stadt seinen Stuhl sucht .	mit diesen Daten	42	means
45	Vielleicht ist es Zeit , an dieser Bestuhlung etwas zu rütteln .	(daher)	44	result
46	Uns wird auch bewusst , dass Rasse ein miserabler Vertreter für Vielfältigkeit ist .	auch 	45	Conjunction
47	Wir haben Verteter aus allen Arten von Rassen über die ganze Karte verteilt .	(konkret)	46	specific
48	Nur die Rasse zu betrachten , erklärt aber die Vielfältigkeit der Stadtentwicklung nicht .	aber	47	contra-expectation
49	Wenn wir versuchen diese Vielfalt zu nutzen , um heikle Probleme anzugehen , brauchen wir eine neue Art des Denkens bezüglich Vielfältigkeit .	(daher)	48	result
50	Schlussendlich haben wir die Fähigkeit , Interventionen zu starten , die unsere Städte in einer neuen Art umformen .	schlussendlich	49	broad
51	Ich glaube , dass wir dieses Potential haben .	(nämlich)	50	restatement
52	Wir haben sogar die Verpflichtung es zu tun .	sogar	51	Conjunction
53	Was ist also eine Stadt ?	was ist also	55	hypophora
54	Jemand könnte sagen , ein geografisches Gebiet , eine Reihe von Straßen und Gebäuden .	jemand könnte sagen	53	Hypophora
55	Ich glaube aber , eine Stadt ist die Summe der Beziehungen der Leute , die dort leben .	aber	54	contra-expectation
56	Wenn wir anfangen können , die Beziehungen wirklich zu dokumentieren , hätten wir eine echte Chance , die Städte zu erhalten , die wir gerne hätten .	(und)	55	Conjunction
57	Danke	_	_	NoRel
