# ID	TEXT	MARKER	TARGET	RELATION
58	Sie muss 50 000 Kilometer vom Teleskop wegfliegen , das exakt in ihrem Schatten bleiben muss , und dann können wir diese Planeten sehen .	(und)	56	Conjunction
59	Das klingt schwierig , aber brillante Ingenieure , meine Kollegen bei JPL , haben ein fabelhaftes Design entwickelt , und das sieht so aus .	(auch wenn)	58	concession
60	Sie ist anfangs um eine Nabe gewickelt .	(außerdem)	57	Conjunction
61	Sie trennt sich vom Teleskop .	(dann)	60	after
62	Die Blütenblätter entfalten sich -- öffnen sich .	(dann)	61	after
63	Das Teleskop dreht sich herum .	(dann)	62	after
64	Sie sehen , wie Starshade wendet und 50 000 Kilometer vom Teleskop wegfliegt .	(dann)	63	after
65	Sie wird sich vor den Stern platzieren und , einfach so , einen wunderbaren Schatten erzeugen .	(anschließend)	64	after
66	Zack , wir kriegen die Planeten in seiner Umlaufbahn .	(dadurch)	65	achievement
67	( Applaus ) Vielen Dank .	_	_	NoRel
68	Das ist kein Science-Fiction .	(jedoch)	52	contra-expectation
69	Wir arbeiten seit 5 oder 6 Jahren daran .	(dafür)	52	enablement
70	Letzten Sommer haben wir einen coolen Test durchgeführt , in Kalifornien bei Northrop Grumman .	(etwa)	69	instance
71	Dies sind vier Blütenblätter einer Starshade im kleinen Maßstab .	_	_	NoRel
72	Sie ist ca. halb so groß wie die , die Sie eben sahen .	(und)	71	conjunction
73	Hier entfalten sich die Blätter .	(und)	71	Conjunction
74	Vier Studenten haben diese vier Blätter im Sommerpraktikum bei JPL gebaut .	(zuvor)	71	before
75	Sie sehen , wie sie ausfahren .	(anders gesagt)	73	restatement
76	Die Blätter müssen sich richtig drehen .	(dafür)	75	enablement
77	Das Gerüst der Blätter muss jedes Mal exakt zur selben Stelle ausfahren , auf ein Zehntel Millimeter genau .	(konkret)	75	specific
78	Wir haben den Test 16-mal ausgeführt , und 16-mal blieb es exakt an derselben Stelle stehen , auf ein Zehntel Millimeter genau .	(konkret)	70	specific
79	Dies muss mit absoluter Präzision erfolgen , aber wenn es gelingt , diese Technologie zu bauen und ins All zu bringen , dann könnte man so etwas erblicken : Dies ist ein Bild eines unserer Nachbarsterne vom Hubble-Weltraumteleskop .	(dafür)	78	enablement
80	Wenn wir ein ähnliches Weltraumteleskop , ein etwas größeres , dort hinausbringen und eine Blende davorfliegen könnten , dann sähen wir vielleicht so etwas ...	ähnliches	71	Similarity
81	Das ist ein Familienporträt des Sonnensystems -- aber nicht unseres ; wir hoffen auf ein anderes Sonnensystem -- , durch eine Blende gesehen , eine Starshade wie diese .	_	_	NoRel
82	Sie sehen Jupiter , Saturn , Uranus , Neptun und , direkt dort in der Mitte , neben dem Rest an Licht , ist der blass-blaue Punkt .	dort	81	EntRel
83	Das ist die Erde .	das	81	EntRel
84	Das wollen wir sehen -- sehen , ob es Wasser gibt , Sauerstoff , Ozon , Dinge , die uns verraten , ob es dort Leben geben könnte .	(und)	83	conjunction
85	Für mich ist dies die coolste Wissenschaft .	(deshalb)	84	cause
86	Darum arbeite ich in diesem Feld , weil ich denke , das wird die Welt verändern .	darum	85	result
87	Wenn wir das sehen , wird das alles verändern .	(und)	84	conjunction
88	Vielen Dank .	_	_	NoRel
